run   time   Entrants   Price   Total_Output   Avg_Output   Min_Output   Max_Output   Avg_MCosts   Min_MCosts   Max_MCosts   Avg_Profits   Min_Profits   Max_Profits   Avg_Rule
1   1   0   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
1   2   1   0.800  0.200   0.200   0.200   0.200   0.599   0.599   0.599   0.040   0.040   0.040   0.000 
1   3   4   0.182  0.273   0.068   0.010   0.128   0.659   0.599   0.717   0.006   0.000   0.016   0.000 
1   4   4   0.174  0.304   0.076   0.029   0.133   0.620   0.564   0.667   0.007   0.001   0.018   0.000 
1   5   4   0.169  0.325   0.081   0.023   0.115   0.593   0.560   0.651   0.008   0.001   0.013   0.000 
1   6   4   0.169  0.325   0.081   0.023   0.115   0.593   0.560   0.651   0.008   0.001   0.013   0.000 
1   7   5   0.131  0.346   0.069   0.036   0.115   0.585   0.539   0.618   0.006   0.001   0.013   0.200 
1   8   5   0.131  0.346   0.069   0.036   0.115   0.585   0.539   0.618   0.006   0.001   0.013   0.200 
1   9   4   0.160  0.361   0.090   0.057   0.126   0.548   0.513   0.581   0.009   0.003   0.016   0.000 
1   10   4   0.160  0.361   0.090   0.057   0.126   0.548   0.513   0.581   0.009   0.003   0.016   0.000 
1   11   4   0.156  0.375   0.094   0.044   0.154   0.531   0.471   0.581   0.011   0.002   0.024   0.000 
1   12   4   0.155  0.378   0.095   0.056   0.151   0.527   0.471   0.566   0.010   0.003   0.023   0.000 
1   13   4   0.155  0.378   0.095   0.056   0.151   0.527   0.471   0.566   0.010   0.003   0.023   0.000 
1   14   4   0.155  0.378   0.095   0.056   0.151   0.527   0.471   0.566   0.010   0.003   0.023   0.000 
1   15   4   0.155  0.381   0.095   0.060   0.148   0.524   0.471   0.560   0.010   0.004   0.022   0.000 
1   16   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   17   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   18   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   19   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   20   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   21   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   22   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   23   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   24   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   25   4   0.153  0.388   0.097   0.053   0.141   0.515   0.471   0.560   0.010   0.003   0.020   0.000 
1   26   5   0.121  0.397   0.079   0.044   0.132   0.524   0.471   0.560   0.007   0.002   0.017   0.200 
1   27   5   0.121  0.397   0.079   0.044   0.132   0.524   0.471   0.560   0.007   0.002   0.017   0.200 
1   28   5   0.121  0.396   0.079   0.041   0.133   0.525   0.471   0.563   0.007   0.002   0.018   0.200 
1   29   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   30   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   31   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   32   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   33   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   34   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   35   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   36   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   37   5   0.119  0.406   0.081   0.034   0.144   0.512   0.450   0.560   0.008   0.001   0.021   0.200 
1   38   5   0.121  0.395   0.079   0.017   0.155   0.526   0.450   0.588   0.008   0.000   0.024   0.200 
1   39   5   0.121  0.395   0.079   0.017   0.155   0.526   0.450   0.588   0.008   0.000   0.024   0.200 
1   40   5   0.121  0.395   0.079   0.017   0.155   0.526   0.450   0.588   0.008   0.000   0.024   0.200 
1   41   5   0.121  0.395   0.079   0.017   0.155   0.526   0.450   0.588   0.008   0.000   0.024   0.200 
1   42   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
1   43   4   0.152  0.392   0.098   0.048   0.158   0.510   0.450   0.560   0.011   0.002   0.025   0.000 
